AQSID,Parameter_name,Site_code,Site_name,Status,Agency_ID,Agency_name,EPA_region,Latitude,Longitude,Elevation,GMT_offset,Country_code,MSA_code,MSA_name,State_code,State_name,County_code,County_name,Extra_fields,Monitoring_Site_ID
410670111,PM2.5,0111,Beaverton - Highland Park School,Active,OR1,Oregon Dept. of Environmental Quality,R10,45.4702,-122.8159,58,-8,US,38900,"Portland-Vancouver-Beaverton, OR-WA",41,OR,067,WASHINGTON,|,41-067-0111
000050504,PM2.5,0504,Saguenay - UQAC,Active,QC1,Canada-Quebec1,CA,48.4153,-71.0528,93.9,-5,CA,NA,NA,00,CC,005,QUEBEC,|,00-005-0504
000100308,PM2.5,0308,Colwood City Hall,Active,BC1,British Columbia Ministry of Environment,CA,48.42389,-123.49278,0,-8,CA,NA,NA,00,CC,010,BRITISH COLUMBIA,|,00-010-0308
000104804,PM2.5,4804,Duncan College Street,Active,BC1,British Columbia Ministry of Environment,CA,48.786114,-123.717307,0,-8,CA,NA,NA,00,CC,010,BRITISH COLUMBIA,|,00-010-4804
000053201,PM2.5,3201,RÇs. Faun. Ashuapmushuan - PÇmonka,Active,QC1,Canada-Quebec1,CA,48.8183,-72.7428,249.5,-5,CA,NA,NA,00,CC,005,QUEBEC,|,00-005-3201
000101005,PM2.5,1005,Abbotsford Airport,Active,BC2,Metro Vancouver,CA,49.021506,-122.326556,64.4,-8,CA,NA,NA,00,CC,010,BRITISH COLUMBIA,|,00-010-1005
124000100103,PM2.5,0103,New Westminster,Active,BC2,Metro Vancouver,CA,49.227045,-122.894487,44.8,-8,CA,NA,NA,na,N/A,N/A,N/A,|,na-N/A-0103
120170006,PM2.5,0006,Crystal River Preserve,Active,FL1,Florida Dept. of Environmental Protection,R4,28.958372,-82.643094,0,-5,US,26140,"Homosassa Springs, FL",12,FL,017,CITRUS,|,12-017-0006
840120013012,PM2.5,3012,Paynes Prairie Farm,Active,FL1,Florida Dept. of Environmental Protection,R4,29.56615,-82.266066,0,-5,US,23540,"Gainesville, FL",12,FL,001,ALACHUA,|,12-001-3012
011250011,PM2.5,0011,Duncanville Middle School,Active,AL1,Alabama Department of Environmental Management,R4,33.095379,-87.481507,0,-6,US,46220,"Tuscaloosa, AL",01,AL,125,TUSCALOOSA,|,01-125-0011
